kepoi_name,koi_period,koi_prad,koi_srad,koi_teq,koi_insol
K01258.02,14.64613058,2.22,0.884,694.0,54.95
K01258.03,148.272013,4.3,0.884,321.0,2.51
K01259.01,1.506507172,13.4,0.473,801.0,97.56
K01318.01,1.634614356,44.22,0.97,1611.0,1597.73
K01319.01,16.025018977,1069.01,0.789,657.0,44.01
K01320.01,10.50682978,9.01,0.782,668.0,47.21
K01321.01,0.711966971,33.34,0.83,1855.0,2808.98
K01322.01,17.72724392,14.77,1.006,741.0,71.06
K01375.01,321.2124365,7.25,1.286,310.0,2.17
K01376.01,7.13895376,49.96,2.145,1622.0,1635.0
K00164.01,4.4645454,3.07,1.985,1601.0,1555.36
K01377.01,11.29689442,1.74,1.176,907.0,160.18
K01378.01,19.30112039,1.66,0.943,669.0,47.49
K00019.01,1.20320092,49.25,1.349,2124.0,4809.16
K00171.01,5.968724048,3.26,1.439,1251.0,579.9
K01449.01,10.980246199,21.94,0.897,821.0,107.47
K01450.01,2.144632238,59.19,1.305,1736.0,2146.82
K01451.01,27.32204488,21.58,0.772,531.0,18.81
K01452.01,1.152216965,187.73,15.113,5283.0,183811.71
K01260.01,5.2972293,47.7,14.296,2867.0,15961.1
K01261.01,133.460999,11.21,1.593,433.0,8.29
K00156.02,5.188563677,1.0,0.54,586.0,27.95
K01261.02,15.19423359,3.69,1.593,893.0,150.25
K01262.01,14.17098745,4.19,0.777,608.0,32.22
K01263.01,31.9734169,24.1,0.774,442.0,9.01
K01323.01,3.990105908,7.45,0.913,1124.0,378.53
K01324.01,0.52205862,27.16,0.878,2022.0,3951.57
K01325.01,10.035381809,4.42,0.833,786.0,90.33
K01326.01,53.100942624,24.02,0.973,464.0,10.93
K00158.01,5.80181368,4.52,2.097,1491.0,1168.82
K01327.01,15.6402515,18.11,0.826,640.0,39.55
K01378.02,0.691666384,0.58,0.943,2031.0,4014.57
K01379.01,5.62154315,1.37,0.96,992.0,229.04
K01380.01,1.074106954,0.52,0.676,1255.0,588.96
K01381.01,5.117401517,28.41,1.053,1130.0,385.51
K01382.01,4.20233673,23.53,1.094,1246.0,570.87
K01441.01,8.50698069,1.9,0.986,900.0,155.42
K00170.01,15.60865244,6.17,2.43,1419.0,958.55
K01442.01,0.669310092,1.13,1.003,1983.0,3643.96
K01443.01,4.494498254,62.11,3.403,1667.0,1824.84
K01444.01,44.9306706,2.49,1.164,565.0,24.17
K01264.01,14.13175309,3.02,0.822,675.0,49.18
K01265.01,1.061934816,25.72,0.87,1660.0,1789.63
K01266.01,11.41926141,1.48,0.492,419.0,7.32
K01267.01,5.93821065,61.63,0.85,996.0,231.93
K01268.01,268.9410974,13.57,1.306,321.0,2.52
K01269.01,0.655001616,31.77,2.089,3162.0,23595.49
K01329.01,33.1996355,2.85,0.88,485.0,13.09
K01330.01,8.65306587,19.78,0.694,633.0,37.94
K01331.01,6.80082032,1.88,0.688,697.0,55.83
K01332.01,19.30581662,4.0,1.522,815.0,104.41
K01383.01,3.221785738,25.03,1.041,1357.0,800.37
K01384.01,0.6243875,29.45,0.618,1639.0,1693.36
K01385.01,18.610092584,55.23,0.891,686.0,52.24
K00165.01,13.22175358,2.38,0.799,640.0,39.56
K01386.01,1.137525054,42.74,0.937,1746.0,2197.52
K01387.01,23.799939273,51.74,0.957,637.0,38.92
K01445.01,7.16893064,1.61,1.458,1187.0,469.56
K01445.02,54.325574,0.76,1.137,545.0,20.85
K01446.01,1.22775877,48.79,1.044,1859.0,2809.86
K01447.01,40.24649897,97.54,1.691,768.0,82.27
K01447.02,2.27999662,20.74,1.691,2000.0,3775.07
K01448.01,2.48658617,24.39,1.198,1461.0,1077.69
K01270.01,5.729317577,2.41,0.786,850.0,123.03
K00156.03,11.776132317,2.08,0.54,446.0,9.37
K01270.02,11.60908533,1.71,0.786,671.0,48.06
K01271.01,162.0479502,11.52,1.567,437.0,8.65
K01272.01,0.530967162,23.72,1.193,2704.0,12644.75
K01273.01,40.05881661,3.43,0.868,489.0,13.57
K01332.02,6.09747233,2.22,1.522,1197.0,485.84
K01332.03,56.637918,3.68,1.522,570.0,24.87
K01333.01,2.243016513,1.37,0.732,1167.0,438.46
K01334.01,8.6531216,22.58,0.852,772.0,84.05
K00159.01,8.99088621,2.78,1.171,960.0,200.35
K01388.01,34.064566412,15.57,0.892,570.0,25.0
K01389.01,4.350087749,24.77,0.953,1136.0,393.2
K01390.01,1.744101106,7.21,0.703,1016.0,251.54
K01391.01,7.981187121,18.75,0.989,966.0,205.88
K01392.01,4.118775582,4.48,0.802,1067.0,306.75
K01393.01,1.694740233,2.12,0.527,797.0,95.14
K01453.01,0.971933156,50.75,0.931,1754.0,2240.48
K01454.01,121.5991278,379.63,0.847,358.0,3.87
K01455.01,15.068060768,16.43,0.96,742.0,71.78
K01456.01,7.886632468,8.99,1.135,996.0,232.07
K01457.01,8.027681123,8.43,0.887,824.0,109.35
K01274.01,704.962626,4.53,0.818,178.0,0.24
K01275.01,50.28635977,3.88,1.167,543.0,20.59
K01276.01,22.79020351,2.57,1.053,634.0,38.27
K01276.02,13.26079792,1.47,1.053,760.0,78.79
K01277.01,1.061932545,2.29,1.851,2508.0,9391.15
